Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
spec17-605.mcf-s1.trace.xz,pythia,0.24867,1399202,304015,490,18922,1
spec17-605.mcf-s2.trace.xz,nopref,0.22898,1766694,1547321,152304,67069,1
spec17-605.mcf-s2.trace.xz,spp,0.26541,2792360,1713242,148779,66182,1
spec17-605.mcf-s2.trace.xz,bingo,0.34337,4886551,354570,148215,117620,1
spec17-605.mcf-s2.trace.xz,mlop,0.21423,2225912,1923472,149598,61081,1
spec17-605.mcf-s2.trace.xz,pythia,0.26945,5913340,1145716,147325,166589,1
spec17-605.mcf-s3.trace.xz,nopref,0.13174,6769496,1314010,2170398,3285088,1
spec17-605.mcf-s3.trace.xz,spp,0.15078,5643822,490719,2173577,2078490,1
spec17-605.mcf-s3.trace.xz,bingo,0.1595,5763834,76756,2175203,2104837,1
spec17-605.mcf-s3.trace.xz,mlop,0.15603,5645320,180765,2174303,2078445,1
spec17-605.mcf-s3.trace.xz,pythia,0.16281,6810505,144545,2170693,3278589,1
spec17-605.mcf-s4.trace.xz,nopref,0.23214,2389383,2089128,130326,169929,1
spec17-605.mcf-s4.trace.xz,spp,0.29947,2797987,1545511,126088,116680,1
spec17-605.mcf-s4.trace.xz,bingo,0.3996,3668128,307794,120988,140235,1
spec17-605.mcf-s4.trace.xz,mlop,0.26567,2906954,1429307,125317,160001,1
spec17-605.mcf-s4.trace.xz,pythia,0.34937,3855308,856267,120320,153847,1
spec17-605.mcf-s5.trace.xz,nopref,0.27897,1445697,1081492,107679,256526,1
spec17-605.mcf-s5.trace.xz,spp,0.39216,1399128,576550,101268,126119,1
spec17-605.mcf-s5.trace.xz,bingo,0.48852,1943268,137459,94544,132941,1
spec17-605.mcf-s5.trace.xz,mlop,0.39428,1806254,341473,103166,218217,1
spec17-605.mcf-s5.trace.xz,pythia,0.44037,1975721,361108,93063,248581,1
spec17-605.mcf-s6.trace.xz,nopref,0.27184,580117,579649,347,121,1
spec17-605.mcf-s6.trace.xz,spp,0.27963,676364,395887,581,179,1
spec17-605.mcf-s6.trace.xz,bingo,0.23224,4076355,414746,24680,20955,1
spec17-605.mcf-s6.trace.xz,mlop,0.28604,709408,240058,741,186,1
spec17-605.mcf-s6.trace.xz,pythia,0.27935,887696,292733,299,73,1
spec17-605.mcf-s7.trace.xz,nopref,0.18342,2973677,2969145,1061,3471,1
spec17-605.mcf-s7.trace.xz,spp,0.15854,3927169,2508848,1900,1640,1
spec17-605.mcf-s7.trace.xz,bingo,0.09681,23197069,2165702,14524,52916,1
spec17-605.mcf-s7.trace.xz,mlop,0.16713,4100884,1309034,2581,2728,1
spec17-605.mcf-s7.trace.xz,pythia,0.18536,4052735,1214224,1576,1560,1
spec17-605.mcf-s8.trace.xz,nopref,0.21534,888944,862707,351,25886,1
spec17-605.mcf-s8.trace.xz,spp,0.21983,1057646,831524,346,84,1
spec17-605.mcf-s8.trace.xz,bingo,0.19338,7884371,817333,1040,62062,1
spec17-605.mcf-s8.trace.xz,mlop,0.21798,1435783,816451,462,19754,1
spec17-605.mcf-s8.trace.xz,pythia,0.21803,1527471,747470,272,31536,1
